feature,feature_value,precision,recall,f_beta
workclass,Private,0.7479954180985109,0.6523476523476524,0.6969050160085379
workclass,State-gov,0.7391304347826086,0.6986301369863014,0.7183098591549297
workclass,Self-emp-not-inc,0.7169811320754716,0.4840764331210191,0.5779467680608364
workclass,Self-emp-inc,0.7610619469026548,0.7288135593220338,0.7445887445887445
workclass,Federal-gov,0.7536231884057971,0.7428571428571429,0.748201438848921
workclass,Local-gov,0.7669902912621359,0.7181818181818181,0.7417840375586854
workclass,?,0.6896551724137931,0.47619047619047616,0.5633802816901408
workclass,Without-pay,1.0,1.0,1.0
education,Some-college,0.704225352112676,0.5415162454873647,0.6122448979591836
education,HS-grad,0.6581196581196581,0.4463768115942029,0.5319516407599308
education,Bachelors,0.7620137299771167,0.74,0.7508455467869222
education,Masters,0.8256880733944955,0.8695652173913043,0.8470588235294118
education,Assoc-acdm,0.7027027027027027,0.5531914893617021,0.6190476190476191
education,7th-8th,1.0,0.0,0.0
education,11th,1.0,0.45454545454545453,0.625
education,Assoc-voc,0.6481481481481481,0.5555555555555556,0.5982905982905983
education,Prof-school,0.8172043010752689,0.9047619047619048,0.8587570621468926
education,9th,1.0,0.3333333333333333,0.5
education,5th-6th,1.0,0.5,0.6666666666666666
education,10th,0.3333333333333333,0.16666666666666666,0.2222222222222222
education,Doctorate,0.85,0.8947368421052632,0.8717948717948718
education,12th,1.0,0.4,0.5714285714285715
education,1st-4th,1.0,1.0,1.0
education,Preschool,1.0,1.0,1.0
marital-status,Divorced,0.75,0.4077669902912621,0.5283018867924528
marital-status,Married-civ-spouse,0.7409200968523002,0.6975683890577508,0.7185909980430528
marital-status,Never-married,0.8076923076923077,0.4077669902912621,0.5419354838709677
marital-status,Separated,1.0,0.42105263157894735,0.5925925925925926
marital-status,Widowed,1.0,0.21052631578947367,0.34782608695652173
marital-status,Married-spouse-absent,1.0,0.375,0.5454545454545454
marital-status,Married-AF-spouse,1.0,0.0,0.0
occupation,Adm-clerical,0.6538461538461539,0.53125,0.5862068965517242
occupation,Exec-managerial,0.7940379403794038,0.7380352644836272,0.7650130548302871
occupation,Machine-op-inspct,0.5757575757575758,0.40425531914893614,0.47500000000000003
occupation,Craft-repair,0.6940298507462687,0.5138121546961326,0.5904761904761905
occupation,Prof-specialty,0.7881136950904393,0.7780612244897959,0.7830551989730422
occupation,Sales,0.7388888888888889,0.6927083333333334,0.7150537634408602
occupation,Handlers-cleaners,0.6666666666666666,0.3333333333333333,0.4444444444444444
occupation,Other-service,0.875,0.2692307692307692,0.411764705882353
occupation,Protective-serv,0.75,0.5714285714285714,0.6486486486486486
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Transport-moving,0.6304347826086957,0.453125,0.5272727272727272
occupation,?,0.6896551724137931,0.47619047619047616,0.5633802816901408
occupation,Farming-fishing,0.36363636363636365,0.14285714285714285,0.2051282051282051
occupation,Tech-support,0.7083333333333334,0.6666666666666666,0.6868686868686869
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Not-in-family,0.8,0.425531914893617,0.5555555555555557
relationship,Wife,0.7338129496402878,0.7132867132867133,0.7234042553191491
relationship,Husband,0.7415832575068244,0.6965811965811965,0.7183781401498457
relationship,Unmarried,0.8333333333333334,0.3333333333333333,0.47619047619047616
relationship,Own-child,1.0,0.11764705882352941,0.21052631578947367
relationship,Other-relative,0.75,0.375,0.5
race,White,0.7463768115942029,0.6491596638655462,0.69438202247191
race,Black,0.7169811320754716,0.5846153846153846,0.6440677966101696
race,Other,1.0,0.6666666666666666,0.8
race,Asian-Pac-Islander,0.7818181818181819,0.6935483870967742,0.7350427350427351
race,Amer-Indian-Eskimo,0.625,0.5,0.5555555555555556
sex,Female,0.7368421052631579,0.5407725321888412,0.6237623762376239
sex,Male,0.7481108312342569,0.6659192825112108,0.704626334519573
native-country,United-States,0.7455573505654282,0.643205574912892,0.6906098017209129
native-country,Mexico,1.0,0.3333333333333333,0.5
native-country,Puerto-Rico,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country,El-Salvador,1.0,1.0,1.0
native-country,?,0.7,0.6774193548387096,0.6885245901639343
native-country,Columbia,1.0,1.0,1.0
native-country,Poland,0.5,0.5,0.5
native-country,Cambodia,1.0,1.0,1.0
native-country,Germany,0.8333333333333334,0.7692307692307693,0.8
native-country,Philippines,1.0,0.75,0.8571428571428571
native-country,Canada,0.75,0.75,0.75
native-country,Ecuador,1.0,0.5,0.6666666666666666
native-country,Italy,0.75,0.75,0.75
native-country,Cuba,0.6666666666666666,0.8,0.7272727272727272
native-country,Iran,0.3333333333333333,0.2,0.25
native-country,Jamaica,0.0,1.0,0.0
native-country,Haiti,1.0,1.0,1.0
native-country,South,0.5,0.5,0.5
native-country,Taiwan,0.75,0.75,0.75
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Ireland,1.0,1.0,1.0
native-country,Japan,0.75,0.75,0.75
native-country,Scotland,1.0,1.0,1.0
native-country,India,0.7777777777777778,0.875,0.823529411764706
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Hungary,1.0,0.5,0.6666666666666666
native-country,England,0.6666666666666666,0.5,0.5714285714285715
native-country,Laos,1.0,0.0,0.0
native-country,Hong,0.5,1.0,0.6666666666666666
native-country,Greece,0.0,0.0,0.0
native-country,Portugal,1.0,1.0,1.0
native-country,Guatemala,1.0,1.0,1.0
native-country,China,1.0,0.875,0.9333333333333333
native-country,France,1.0,1.0,1.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,Vietnam,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,Peru,0.0,0.0,0.0
native-country,Honduras,1.0,1.0,1.0
native-country,Yugoslavia,1.0,1.0,1.0
workclass,Private,0.7398373983739838,0.6363636363636364,0.6842105263157895
workclass,State-gov,0.7538461538461538,0.6712328767123288,0.7101449275362318
workclass,Self-emp-not-inc,0.719626168224299,0.49044585987261147,0.5833333333333334
workclass,Self-emp-inc,0.7565217391304347,0.7372881355932204,0.7467811158798284
workclass,Federal-gov,0.7794117647058824,0.7571428571428571,0.7681159420289856
workclass,Local-gov,0.7755102040816326,0.6909090909090909,0.7307692307692308
workclass,?,0.6923076923076923,0.42857142857142855,0.5294117647058824
workclass,Without-pay,1.0,1.0,1.0
education,Some-college,0.6930232558139535,0.5379061371841155,0.6056910569105691
education,HS-grad,0.6517857142857143,0.42318840579710143,0.5131810193321616
education,Bachelors,0.7482678983833718,0.72,0.7338618346545868
education,Masters,0.8317757009345794,0.8599033816425121,0.8456057007125891
education,Assoc-acdm,0.7297297297297297,0.574468085106383,0.6428571428571429
education,7th-8th,0.0,0.0,0.0
education,11th,1.0,0.2727272727272727,0.42857142857142855
education,Assoc-voc,0.7142857142857143,0.5555555555555556,0.6250000000000001
education,Prof-school,0.8314606741573034,0.8809523809523809,0.8554913294797688
education,9th,1.0,0.3333333333333333,0.5
education,5th-6th,1.0,0.5,0.6666666666666666
education,10th,0.375,0.25,0.3
education,Doctorate,0.8548387096774194,0.9298245614035088,0.8907563025210085
education,12th,1.0,0.4,0.5714285714285715
education,1st-4th,1.0,1.0,1.0
education,Preschool,1.0,1.0,1.0
marital-status,Divorced,0.76,0.36893203883495146,0.4967320261437908
marital-status,Married-civ-spouse,0.736541598694943,0.6861702127659575,0.7104642014162078
marital-status,Never-married,0.84,0.4077669902912621,0.5490196078431373
marital-status,Separated,1.0,0.3684210526315789,0.5384615384615384
marital-status,Widowed,1.0,0.15789473684210525,0.2727272727272727
marital-status,Married-spouse-absent,1.0,0.5,0.6666666666666666
marital-status,Married-AF-spouse,1.0,0.0,0.0
occupation,Adm-clerical,0.6301369863013698,0.4791666666666667,0.5443786982248521
occupation,Exec-managerial,0.7877984084880637,0.7481108312342569,0.7674418604651163
occupation,Machine-op-inspct,0.5757575757575758,0.40425531914893614,0.47500000000000003
occupation,Craft-repair,0.6976744186046512,0.4972375690607735,0.5806451612903226
occupation,Prof-specialty,0.7931034482758621,0.7627551020408163,0.7776332899869961
occupation,Sales,0.7329545454545454,0.671875,0.7010869565217391
occupation,Handlers-cleaners,0.6666666666666666,0.3333333333333333,0.4444444444444444
occupation,Other-service,0.8333333333333334,0.19230769230769232,0.3125
occupation,Protective-serv,0.7666666666666667,0.5476190476190477,0.6388888888888888
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Transport-moving,0.6,0.421875,0.49541284403669716
occupation,?,0.6923076923076923,0.42857142857142855,0.5294117647058824
occupation,Farming-fishing,0.45454545454545453,0.17857142857142858,0.25641025641025644
occupation,Tech-support,0.68,0.6666666666666666,0.6732673267326733
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Not-in-family,0.8085106382978723,0.40425531914893614,0.5390070921985816
relationship,Wife,0.7279411764705882,0.6923076923076923,0.7096774193548387
relationship,Husband,0.7373737373737373,0.6863247863247863,0.7109340416113326
relationship,Unmarried,0.8666666666666667,0.28888888888888886,0.43333333333333335
relationship,Own-child,1.0,0.17647058823529413,0.3
relationship,Other-relative,1.0,0.375,0.5454545454545454
race,White,0.7428101889893179,0.6330532212885154,0.6835538752362949
race,Black,0.74,0.5692307692307692,0.6434782608695652
race,Other,1.0,0.6666666666666666,0.8
race,Asian-Pac-Islander,0.7666666666666667,0.7419354838709677,0.7540983606557377
race,Amer-Indian-Eskimo,0.6666666666666666,0.6,0.631578947368421
sex,Female,0.7378048780487805,0.51931330472103,0.6095717884130981
sex,Male,0.7448979591836735,0.6547085201793722,0.6968973747016708
native-country,United-States,0.739344262295082,0.6285714285714286,0.6794726930320151
native-country,Mexico,1.0,0.3333333333333333,0.5
native-country,Puerto-Rico,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country,El-Salvador,1.0,1.0,1.0
native-country,?,0.7692307692307693,0.6451612903225806,0.7017543859649122
native-country,Columbia,1.0,1.0,1.0
native-country,Poland,0.6666666666666666,1.0,0.8
native-country,Cambodia,1.0,1.0,1.0
native-country,Germany,0.8333333333333334,0.7692307692307693,0.8
native-country,Philippines,1.0,0.75,0.8571428571428571
native-country,Canada,0.7142857142857143,0.625,0.6666666666666666
native-country,Ecuador,1.0,0.5,0.6666666666666666
native-country,Italy,0.75,0.75,0.75
native-country,Cuba,0.8,0.8,0.8000000000000002
native-country,Iran,0.3333333333333333,0.2,0.25
native-country,Jamaica,1.0,1.0,1.0
native-country,Haiti,1.0,1.0,1.0
native-country,South,0.3333333333333333,0.5,0.4
native-country,Taiwan,0.75,0.75,0.75
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Ireland,1.0,1.0,1.0
native-country,Japan,1.0,0.75,0.8571428571428571
native-country,Scotland,1.0,1.0,1.0
native-country,India,0.7777777777777778,0.875,0.823529411764706
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Hungary,1.0,0.5,0.6666666666666666
native-country,England,0.75,0.75,0.75
native-country,Laos,1.0,0.0,0.0
native-country,Hong,0.5,1.0,0.6666666666666666
native-country,Greece,1.0,0.0,0.0
native-country,Portugal,1.0,1.0,1.0
native-country,Guatemala,1.0,1.0,1.0
native-country,China,0.8888888888888888,1.0,0.9411764705882353
native-country,France,1.0,1.0,1.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,Vietnam,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,Peru,0.0,0.0,0.0
native-country,Honduras,1.0,1.0,1.0
native-country,Yugoslavia,1.0,1.0,1.0
